psc;ZUJ;ZUJ_pravdepodobnost
95636;505331;0.2264232942199044
95635;505200;0.4904171364148816
95635;505765;0.12288613303269448
95635;505382;0.38669673055242393
01901;513156;1.0
01864;513253;1.0
01863;513296;1.0
01857;513385;0.7924528301886793
01856;512931;1.0
01855;513725;1.0
01854;557421;0.4547960308710033
01854;557404;0.3103638368246968
01854;557412;0.2348401323042999
01853;512885;0.6831330663106364
01853;557391;0.3168669336893636
01852;557625;0.04815618221258135
01852;582301;0.16767895878524947
01852;513598;0.5010845986984815
01852;557617;0.051626898047722344
01852;513024;0.19913232104121475
01851;513440;1.0
01841;513016;1.0
01835;513091;1.0
01832;513865;1.0
01831;513351;1.0
91622;506150;0.37539267015706806
91616;506150;0.5710872162485066
91616;506419;0.09159697331740342
91614;506079;1.0
91613;506141;0.45614035087719296
90703;504971;0.11660635303578609
90703;504581;0.883393646964214
90701;504661;0.03017832647462277
90701;504254;0.07460752934003963
90701;504866;0.058070416095107456
90701;504581;0.8371437280902302
90623;504793;0.5733333333333334
90622;504688;1.0
90621;504424;1.0
90615;504696;0.46033810143042914
90615;504467;0.5396618985695709
90614;504289;0.3361934477379095
90613;504262;1.0
90606;504408;0.114683460391117
90606;504254;0.3244945309910507
90606;504971;0.4806098773616175
91642;506265;1.0
91641;505951;1.0
91638;505846;1.0
91637;506109;1.0
91635;506257;0.19132893496701225
91635;506249;0.44863336475023563
91635;506516;0.1649387370405278
91635;506311;0.1950989632422243
91633;506206;0.4874826147426982
91633;506052;0.5125173852573018
91632;505994;1.0
91631;506125;0.7485084901330886
91631;556459;0.25149150986691143
91627;505919;1.0
91626;506443;1.0
91625;505889;0.22310007524454478
91625;506435;0.2562076749435666
91625;506001;0.5206922498118887
91624;506001;1.0
91623;506401;1.0
91622;506346;0.12356020942408377
91622;506427;0.5010471204188481
91621;505901;1.0
91616;506672;0.06810035842293907
91616;506061;0.26921545201115094
91613;506630;0.543859649122807
91612;506184;1.0
91611;505897;1.0
91601;506524;1.0
91501;506338;0.9318785578747628
91501;505846;0.06812144212523719
91308;506303;1.0
91307;556424;0.0162937214859874
91307;556441;0.16597870953725832
91307;505871;0.29545948294590485
91307;506583;0.21029763197914403
91307;505846;0.3119704540517054
95854;542962;1.0
95853;505463;1.0
95852;505803;1.0
95845;556416;0.36125273124544793
95845;505731;0.6387472687545521
95844;556271;0.0799543118218161
95844;543047;0.9200456881781839
95843;505196;0.5377855887521968
95843;556246;0.46221441124780316
95842;580449;1.0
95841;543055;0.30782608695652175
95841;505722;0.6921739130434783
95806;505315;1.0
95804;505315;1.0
95803;505129;0.022084398441101286
95803;505706;0.02514352763692746
95803;505323;0.021120563215019067
95803;505315;0.898420148346813
95803;580953;0.03323136236013913
95801;505315;1.0
95634;505307;1.0
95633;543004;1.0
95632;556173;0.07712418300653595
95632;505170;0.38823529411764707
95632;556190;0.18496732026143792
95618;542733;1.0
01826;513474;1.0
01822;580864;0.04001280409731114
01822;546640;0.26248399487836105
01822;557609;0.045454545454545456
01822;513601;0.6520486555697823
01821;546640;0.4718066743383199
01821;557480;0.27848101265822783
01821;580856;0.24971231300345226
01817;513172;1.0
01816;557561;0.06208053691275168
01816;557595;0.06501677852348993
01816;557579;0.20134228187919462
01816;513008;0.6715604026845637
01815;513563;0.7016728624535316
01815;558222;0.06923791821561338
01815;557633;0.22908921933085502
01813;513466;1.0
01812;513687;0.36037934668071653
01812;512915;0.6396206533192834
01803;513083;1.0
01802;512966;0.5898078529657477
01802;557510;0.2656641604010025
01802;557552;0.14452798663324978
01801;513741;1.0
01707;512842;1.0
01706;512842;1.0
01705;513822;0.004932495995525158
01705;513784;0.006305458798403295
01705;513245;0.006305458798403295
01705;512842;0.9824565864076682
01704;512842;1.0
01701;518913;0.0339025426907018
01701;512842;0.9660974573092982
97271;514268;1.0
97251;514357;0.07083859125846048
97251;513997;0.9291614087415395
